review_id,user_name,review_text,rating,thumbs_up_count,review_created_version,app_version,review_date,developer_reply,developer_reply_date,brand,platform,lang_param,country_param,scraped_at
d0e84410-b66c-45d7-85c1-e2097854bb89,Tope Akanji,"can you please just bring back the previous app, cant even off vibration",1,0,0.22.7,0.22.7,2026-04-05 22:00:35,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
55b46939-6b7f-4d1e-a627-9f02e791d032,Pumza Gevenga,very realistic,5,0,0.22.7,0.22.7,2026-04-05 21:20:28,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
94316b40-cd88-458b-b547-9e21ceda70da,Gabriel Howard,"Gawd awful interface, difficult to navigate, menus are a mess, nonintuitive to set up a game against the computer or a human opponent of similar skill level. Literally uninstalled after 3 minutes.",2,0,,,2026-04-05 19:09:06,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
89f465b8-e7c7-4046-9fe8-74dfc2dfa999,Mohammad Mohaimenul ISLAM,Perfection.,5,1,,,2026-04-05 16:48:20,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
40340fe0-d296-42ea-bd22-4436c58906b1,Ash M.G.,"it's chess. it's free. it's so much more than that. all features are free for everyone: no paywalls for bot opponents, custom skins, or game analysis. you can customize your pieces and board to your liking, and even add a background image to make your experience unique to you (i used some monstera leaves on all green board). there are puzzles and training courses and different chess variants, and the web version has even more stuff. i couldn't recommend this enough. give this app some love ffs.",5,4,0.22.7,0.22.7,2026-04-05 16:18:37,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
50249e35-aaf5-4af3-b688-2284e6d1366e,Ajinkya Dhote,i don't like the review system even if it is free. also not enough bots to play with. the worst part is matchmaking it is just trash- it could be 100x better.,2,0,,,2026-04-05 11:38:24,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
910194e6-4074-488e-b1a0-c55fd07e08a9,Night Blood,massive cheating problem. no reliable reporting system,1,2,0.19.4,0.19.4,2026-04-05 06:11:58,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
fd2a4d83-3f42-41ee-b084-32bf300ec8b7,Marca Mos Elfredndò,Yeah! It's the best out there!,5,0,,,2026-04-05 05:23:33,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
b53b7d24-3cf9-4adb-9b78-413a84962e23,Saba Tsenteradze,it's a really good chess game.,5,10,0.14.14,0.14.14,2026-04-04 11:41:45,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
303905bf-bfcf-4790-bfe4-97606b004766,Taher Hilal,I cannot request a computer analysis in study in the android app. Please add this feature so that I can access computer analysis on this device and not have to open the webpage. Otherwise the app is very solid.,4,1,0.22.7,0.22.7,2026-04-03 06:48:31,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
