dataset_type,brand,theme,theme_es,n_reviews,average_rating,median_rating,pct_1_2_star,pct_4_5_star,helpful_votes_mean,n_reviews_total_brand,share_of_reviews
comparable_final_3000,Lichess,analysis_tools,Análisis y herramientas,152,3.5921052631578947,4.0,0.23684210526315788,0.5789473684210527,9.598684210526315,1500,0.10133333333333333
comparable_final_3000,Lichess,community_tournaments_social,"Comunidad, torneos y social",105,3.1714285714285713,3.0,0.38095238095238093,0.47619047619047616,4.752380952380952,1500,0.07
comparable_final_3000,Lichess,developer_support,Soporte y respuesta del desarrollador,17,2.8823529411764706,1.0,0.5294117647058824,0.47058823529411764,3.823529411764706,1500,0.011333333333333334
comparable_final_3000,Lichess,fair_play_moderation,"Fair play, trampas y moderación",50,1.46,1.0,0.88,0.08,1.98,1500,0.03333333333333333
comparable_final_3000,Lichess,gameplay_matchmaking,Jugabilidad y emparejamiento,159,2.591194968553459,2.0,0.5283018867924528,0.3522012578616352,6.270440251572327,1500,0.106
comparable_final_3000,Lichess,interface_usability,Interfaz y usabilidad,169,3.1183431952662723,3.0,0.40828402366863903,0.47337278106508873,6.491124260355029,1500,0.11266666666666666
comparable_final_3000,Lichess,performance_stability,"Rendimiento, estabilidad y fallos",102,2.0098039215686274,1.0,0.6764705882352942,0.20588235294117646,7.931372549019608,1500,0.068
comparable_final_3000,Lichess,puzzles_learning,Puzles y aprendizaje,190,3.942105263157895,5.0,0.19473684210526315,0.7105263157894737,7.136842105263158,1500,0.12666666666666668
comparable_final_3000,Lichess,updates_version_changes,Actualizaciones y cambios de versión,195,2.8205128205128207,3.0,0.4717948717948718,0.40512820512820513,7.825641025641025,1500,0.13
fixed_window_2026-03-11_to_2026-04-11,Chess.com,account_access,Cuenta y acceso,56,2.5357142857142856,1.0,0.5714285714285714,0.375,0.5178571428571429,2743,0.02041560335399198
fixed_window_2026-03-11_to_2026-04-11,Chess.com,ads_pricing_premium,"Anuncios, precio y premium",234,2.3846153846153846,2.0,0.6068376068376068,0.32051282051282054,1.2692307692307692,2743,0.08530805687203792
fixed_window_2026-03-11_to_2026-04-11,Chess.com,analysis_tools,Análisis y herramientas,67,2.8358208955223883,3.0,0.44776119402985076,0.44776119402985076,1.6417910447761195,2743,0.024425811155668976
